variable,variable_label,range_lower,range_upper,notes
nfc_13_2,"Need for Cognition T2, item 5",1.0,7.0,
nfc_14_2,"Need for Cognition T2, item 6",1.0,7.0,
nfc_04g_2,"Need for Cognition T2, item 7",1.0,7.0,already recoded
nfc_06g_2,"Need for Cognition T2, item 8",1.0,7.0,already recoded
nfc_07g_2,"Need for Cognition T2, item 9",1.0,7.0,already recoded
nfc_08g_2,"Need for Cognition T2, item 10",1.0,7.0,already recoded
nfc_09g_2,"Need for Cognition T2, item 11",1.0,7.0,already recoded
nfc_10g_2,"Need for Cognition T2, item 12",1.0,7.0,already recoded
nfc_11g_2,"Need for Cognition T2, item 13",1.0,7.0,already recoded
nfc_12g_2,"Need for Cognition T2, item 14",1.0,7.0,already recoded
nfc_15g_2,"Need for Cognition T2, item 15",1.0,7.0,already recoded
nfc_16g_2,"Need for Cognition T2, item 16",1.0,7.0,already recoded
note_all_2,Overall grade (GPA) T2,1.0,3.9,
not_m_2,Math grade T2,0.8,5.3,
note_d_2,German grade T2,1.0,5.0,
note_p_2,Physics grade T2,0.8,6.0,
note_c_2,Chemistry grade T2,1.0,4.8,
fsk_al_2,Mean Ability Self-Concept School T2,2.3,5.0,
fsk_m_2,Mean Ability Self-Concept Math T2,1.0,5.0,
fsk_d_2,Mean Ability Self-Concept German T2,1.0,5.0,
fsk_p_2,Mean Ability Self-Concept Physics T2,1.0,5.0,
fsk_c_2,Mean Ability Self-Concept Chemistry T2,1.0,5.0,
hae_2,Mean Hope for Success T2,1.0,4.0,
fvm_2,Mean Fear of failureT2,1.0,3.7,
ska_nfc_2,Mean Need for Cognition T2,2.5,6.9,
in_al_2,Mean Interest in School T2,1.0,5.0,
in_m_2,Mean Interest in Math T2,1.0,5.0,
in_d_2,Mean Interest in German T2,1.0,5.0,
in_p_2,Mean Interest in Physics T2,1.0,5.0,
in_c_2,Mean Interest in Chemistry T2,1.0,5.0,
