"","B","SE","CI.LB","CI.UB","beta","p"
"grd.1 ~~ nfc.1 phi16","0.21","0.03","0.16","0.27",".48","< .001"
"asc.1 ~~ int.1 phi23","0.19","0.02","0.15","0.24",".53","< .001"
"asc.1 ~~ hfs.1 phi24","0.11","0.02","0.08","0.14",".47","< .001"
"asc.1 ~~ fof.1 phi25","-0.08","0.02","-0.11","-0.04","-.31","< .001"
"asc.1 ~~ nfc.1 phi26","0.19","0.03","0.14","0.24",".50","< .001"
"int.1 ~~ hfs.1 phi34","0.14","0.02","0.09","0.19",".36","< .001"
"int.1 ~~ fof.1 phi35","-0.06","0.02","-0.10","-0.01","-.14",".020"
"int.1 ~~ nfc.1 phi36","0.24","0.04","0.16","0.32",".39","< .001"
"hfs.1 ~~ fof.1 phi45","-0.10","0.02","-0.14","-0.07","-.39","< .001"
"hfs.1 ~~ nfc.1 phi46","0.33","0.03","0.27","0.39",".82","< .001"
"fof.1 ~~ nfc.1 phi56","-0.22","0.03","-0.28","-0.16","-.52","< .001"
"grd.d ~~ asc.d rho12","0.01","0.00","0.00","0.02",".16",".008"
"grd.d ~~ int.d rho13","0.00","0.01","-0.02","0.02",".01",".899"
"grd.d ~~ hfs.d rho14","0.00","0.01","-0.01","0.02",".02",".803"
"grd.d ~~ fof.d rho15","0.00","0.01","-0.02","0.01","-.02",".724"
"grd.d ~~ nfc.d rho16","0.01","0.01","0.00","0.03",".11",".106"
"asc.d ~~ int.d rho23","0.04","0.01","0.03","0.06",".39","< .001"
"asc.d ~~ hfs.d rho24","0.01","0.01","0.00","0.02",".09",".234"
"asc.d ~~ fof.d rho25","-0.01","0.00","-0.02","0.00","-.07",".220"
"asc.d ~~ nfc.d rho26","0.02","0.01","0.01","0.03",".24","< .001"
"int.d ~~ hfs.d rho34","0.02","0.02","-0.01","0.05",".12",".240"
"int.d ~~ fof.d rho35","0.02","0.01","-0.01","0.04",".08",".224"
"int.d ~~ nfc.d rho36","0.04","0.01","0.01","0.07",".23",".002"
"hfs.d ~~ fof.d rho45","-0.02","0.01","-0.03","-0.01","-.16",".007"
"hfs.d ~~ nfc.d rho46","0.06","0.01","0.04","0.08",".50","< .001"
"fof.d ~~ nfc.d rho56","-0.02","0.01","-0.04","0.00","-.13",".056"
